NodeID_1,intersection
0000138,Arthur Kill Road and Tyrrell Street
0000139,Arthur Kill Road and Johnson Avenue
0000322,Joline Avenue and Amaron Lane
0000323,Joline Avenue and Hylan Boulevard
0000330,Sylvan Court and Joline Avenue
0000331,Blossom Lane and Joline Avenue
0000332,Kathleen Court and Joline Avenue
0000334,Giegerich Place and Joline Avenue
0000335,Adlers Lane and Joline Avenue
0000338,Brehaut Avenue
0000339,Brehaut Avenue and Truman Street
0000344,Joline Avenue and Poe Street
0000345,Honey Lane and Joline Avenue
0000346,Truman Street and Joline Avenue
0000756,Kenneth Place at Woodvale Avenue and Finlay Avenue
0000757,Finlay Avenue and Creston Street
0000759,Finlay Avenue and Burton Avenue
0000760,Finlay Avenue and Everett Avenue
0000761,Shadyside Avenue
0000764,Manee Avenue
0000765,Manee Avenue and Hastings Court
0000767,Woodvale Avenue and Bayside Lane
0000770,Johnston Terrace and Indale Avenue
0000777,Bayview Lane and Burton Avenue
0000778,Indale Avenue and Hylan Boulevard
0000779,Bayview Lane and Everett Avenue
0001874,Purdy Place and Van Wyck Avenue
0001875,Van Wyck Avenue and Marscher Place
0001876,Holton Avenue at Purdy Place and Coastal Loop
0001877,Wilbur Street and Van Wyck Avenue
0001878,Melville Street and Case Avenue
0001879,Case Avenue and Norman Place
0001880,Case Avenue and Cooper Place
0001881,Holton Avenue and Wilbur Street
0001882,Melville Street and Holton Avenue
0001883,Norman Place and Holton Avenue
0001885,Holton Avenue and Armour Place
0001886,Holton Avenue and Keating Street
0001887,Holton Avenue and Cooper Place
0001891,Cornelia Avenue and Veith Place
0001893,Hylan Boulevard and Cornelia Avenue
0001894,Maxwell Avenue and Hylan Boulevard
0001895,Cornelia Avenue and Edith Avenue
0001896,Hylan Boulevard and Luten Avenue
0001899,Cornelia Avenue and Chester Avenue
0001900,Veith Place
0001905,Irvington Street and Chester Avenue
0001907,Edith Avenue and Maxwell Avenue
0001908,Irvington Street and Edith Avenue
0001909,Edith Avenue and Huguenot Avenue
0001913,Huguenot Avenue
0001919,Huguenot Avenue and Chester Avenue
0001920,Swaim Avenue and Edith Avenue
0001923,Chester Avenue and Swaim Avenue
0001925,Swaim Avenue
0001927,Yeomalt Avenue
0001932,Arbutus Avenue
0001934,Chester Avenue and Colon Street
0001936,Chester Avenue at Jarvis Avenue and Arbutus Avenue
0001938,Arbutus Avenue and Yeomalt Avenue
0001948,Zephyr Avenue and Philip Avenue
0001954,Chisholm Street and Eylandt Street
0000347,Jacob Street and Joline Avenue
0002900,Smyrna Avenue and Woehrle Avenue
0002531,Arden Avenue and Gillard Avenue
0002532,Amboy Road and Seidman Avenue
0002534,Bovanizer Street and Gillard Avenue
0002535,Bovanizer Street and Mosely Avenue
0002536,Amboy Road and Bovanizer Street
0002537,Ross Lane and Amboy Road
0002538,Bamberger Lane and Mosely Avenue
0002539,Amboy Road and Bamberger Lane
0002540,Whalley Avenue and Stuyvesant Avenue
0002542,Wainwright Avenue and Wilson Avenue
0002544,Sylvia Street at Wainwright Avenue and Village Lane
0002545,Wilson Avenue and Chesebrough Street
0002549,Waimer Place and Mosely Avenue
0002550,Wilson Avenue and Bayard Street
0002551,Serrell Avenue and Wainwright Avenue
0002552,Rye Avenue and Wainwright Avenue
0002553,Rochelle Place and Wainwright Avenue
0002554,Petrus Avenue and Wainwright Avenue
0002555,Petrus Avenue and Chesebrough Street
0002557,Bayard Street and Petrus Avenue
0002558,Serrell Avenue and Richmond Avenue
0002559,Katan Avenue and Wainwright Avenue
0000240,Loretto Street and Hylan Boulevard
0000241,Loretto Street and Sea Crest Lane
0000243,Delia Court at George Street and Fayann Lane
0001474,Sinclair Avenue and Ellsworth Avenue
0001475,Ellsworth Avenue and Sinclair Avenue
0003186,Armstrong Avenue and East Perkiomen Avenue
0003187,Armstrong Avenue and Barlow Avenue
0003188,Armstrong Avenue and East Reading Avenue
0003189,Abingdon Avenue and East Macon Avenue
0003190,Barlow Avenue and Abingdon Avenue
0003191,Armstrong Avenue and East Brandis Avenue
0003192,Armstrong Avenue and Gurley Avenue
0003193,Arthur Kill Road and Armstrong Avenue
0003194,Lennon Court and Arthur Kill Road
0003196,Arthur Kill Road and Abbey Road
0003198,Abingdon Court and Abingdon Avenue
0003199,Arthur Kill Road and Abingdon Avenue
0003200,Abingdon Avenue and Gurley Avenue
0003201,Abingdon Avenue and East Brandis Avenue
0003202,Arthur Kill Road and Brookfield Avenue
0003206,Platinum Avenue and Forest Hill Road
0003209,Cannon Drive at Windham Loop and Amy Court
0004066,Fancher Place
0004067,Macormac Place and Northfield Avenue
0004068,Benjamin Place and Northfield Avenue
0004069,Fancher Place and Northfield Avenue
0004070,Benjamin Place and Arlington Avenue
0004072,Bailey Place
0004073,Martineau Street
0001461,Marcy Avenue and Darlington Avenue
0001462,Marcy Avenue and Rensselaer Avenue
0001463,Rathbun Avenue and Marcy Avenue
0001464,Ramona Avenue and Marcy Avenue
0001465,Marcy Avenue and Lamont Avenue
0001466,Marcy Avenue and Woodrow Road
0001467,Stafford Avenue and Marcy Avenue
0001468,Marcy Avenue and Ramapo Avenue
0001470,Marcy Avenue and Sinclair Avenue
0001471,Marcy Avenue and Sheldon Avenue
0001472,Deserre Avenue and Sinclair Avenue
0001473,Sheldon Avenue and Deserre Avenue
0001476,West Castor Place and Wycliff Lane
0001479,Deserre Avenue and Woodrow Road
0001482,Ellsworth Avenue and Woodrow Road
0001483,Powell Street and West Castor Place
0001484,Powell Street and Shift Place
0001485,Powell Street and Venus Place
0001486,Woodrow Road and Powell Street
0001487,Powell Street and Woodrow Road
0001492,Powell Street
0001493,Powell Street and Rosedale Avenue
0001494,Powell Street and Covington Circle
0001495,Rumba Place
0001496,Powell Street and Powell Lane
0001498,Rosedale Avenue and Dahlia Street
0001499,Dahlia Street and Shift Place
0001502,Rosedale Avenue and Huguenot Avenue
0001503,Rumba Place and Dahlia Street
0001504,Huguenot Avenue and Rumba Place
0001505,Huguenot Avenue and Avon Green
0001506,Russek Drive and Dogwood Drive
0001507,Avon Green and Russek Drive
0001508,Russek Drive and Geyser Drive
0001509,Dogwood Drive and Ashton Drive
0001510,Hammock Lane and Geyser Drive
0001511,Holton Avenue and Mac Gregor Avenue
0001512,Knox Street and Holton Avenue
0001513,Princewood Avenue and Wrenn Street
0001514,Princewood Avenue and Vernon Avenue
0001516,Vernon Avenue
0001517,Wheeling Avenue
0001518,Amboy Road and Vernon Avenue
0001519,Woodhull Avenue and Albourne Avenue East
0001520,Woodhull Avenue and Hawley Avenue
0001521,Amboy Road and Woodhull Avenue
0001525,Drumgoole Road East at West Terrace and Woodhull Avenue
0001526,Woodhull Avenue and Ashland Avenue East
0001528,Ellsworth Avenue and Drumgoole Road East
0001529,Carlton Avenue at Marcy Avenue and Drumgoole Road West
0001530,Edgegrove Avenue and Ellsworth Avenue
0001531,Darlington Avenue and Ellsworth Avenue
0001532,Drumgoole Road West at Ellsworth Avenue and Carlton Court
0001534,Rathbun Avenue and Ellsworth Avenue
0001535,Ellsworth Avenue and Ramona Avenue
0001536,Lamont Avenue and Ellsworth Avenue
0001537,Ionia Avenue and Ellsworth Avenue
0001538,Huguenot Avenue and Ramona Avenue
0001539,Sheldon Avenue and Ellsworth Avenue
0001540,Sinclair Avenue and Powell Street
0001541,Ellsworth Avenue and Rensselaer Avenue
0001542,Sinclair Avenue and Walker Place
0001543,Huguenot Avenue and Stafford Avenue
0001544,Sinclair Avenue and Huguenot Avenue
0001545,Sheldon Avenue and Huguenot Avenue
0001546,Huguenot Avenue and Rensselaer Avenue
0001547,Huguenot Avenue and Rathbun Avenue
0001548,Dahlia Street and Woodrow Road
0001549,Woodrow Road and Walker Place
0001550,Huguenot Avenue and Castor Place
0001551,Huguenot Avenue at Woodrow Road and Vineland Avenue
0001552,Boulder Street and Woodrow Road
0001553,Boulder Street and Bouton Lane
0001554,Nippon Avenue at Woodrow Road and Crown Avenue
0001555,Anaconda Street and Sperry Place
0001556,Shift Place and Huguenot Avenue
0001558,Stack Drive and Russek Drive
0001560,Stack Drive and Hammock Lane
0001563,Rosedale Avenue and Cardiff Street
0001564,Castor Place and Cardiff Street
0001565,Stack Drive and Myrna Lane
0001566,Rosedale Avenue and Boulder Street
0001567,Boulder Street and Castor Place
0000250,Paradise Place and Sleight Avenue
0000251,Keppel Avenue
0000253,George Street and Sprague Avenue
0000254,Nancy Lane and Sprague Avenue
0000257,Joseph Court and Fisher Avenue
0000258,Sapphire Court at Keppel Avenue and Joyce Lane
0000259,Amboy Road and Fisher Avenue
0000260,Amboy Road and Sprague Avenue
0000262,Sanford Street at Sprague Avenue and Joyce Lane
0000263,Amboy Road and Barnard Avenue
0000264,Keppel Avenue at Sprague Avenue and Nancy Lane
0000265,Sanford Street
0000267,Craig Avenue and Barnard Avenue
0000268,Brehaut Avenue
0000269,Brehaut Avenue and Craig Avenue
0000270,Nashville Street and Lenhart Street
0000271,Brehaut Avenue and Amboy Road
0000273,Nashville Street
0000274,Lion Street at St. Andrew's Place and Arthur Kill Road
0000276,Craig Avenue and Nashville Street
0000277,Hecker Street and St. Andrew's Place
0000278,Maiden Lane and Hecker Street
0000279,Hart Place and St. Andrew's Place
0000280,Lenhart Street and Parker Street
0000281,Hecker Street and Craig Avenue
0000282,Maiden Lane and Hart Place
0000283,Bethel Avenue and St. Andrew's Place
0000285,Ellis Street at Averill Place and Arthur Kill Road
0000286,Arthur Kill Road and Nassau Place
0000287,Nassau Place and Averill Place
0000288,Nassau Place
0000291,Arthur Kill Road and Richmond Valley Road
0000292,Billop Avenue and Loretto Street
0000295,Surf Avenue and Loretto Street
0000300,Surf Avenue and Sprague Avenue
0000301,Sea Breeze Lane and Sprague Avenue
0000302,Robinson Beach
0000307,Sprague Avenue and Sandy Lane
0000310,Sprague Court at Sprague Avenue and Winding Woods Loop
0000311,Sprague Avenue and Winding Woods Loop
0000314,Robinson Beach and Joline Lane
0000315,Sprague Avenue and Sunset Lane
0000316,Sprague Avenue and Hylan Boulevard
0000317,Sea Crest Lane and Sprague Avenue
0002560,Memphis Avenue and Wainwright Avenue
0002561,Laredo Avenue and Wainwright Avenue
0002562,Lamoka Avenue and Wainwright Avenue
0002563,Richmond Avenue and Katan Avenue
0002564,Lamoka Avenue and Richmond Avenue
0002565,Richmond Avenue and Memphis Avenue
0002566,Richmond Avenue and Laredo Avenue
0002567,Katan Avenue and Bartlett Avenue
0002572,Bayview Terrace and Ryan Place
0002573,Peare Place and Hylan Boulevard
0002574,Bayview Terrace and Peare Place
0002575,Holdridge Avenue and Hylan Boulevard
0002576,Bayview Terrace and Holdridge Avenue
0002577,Hylan Boulevard and Bennett Place
0002579,Bennett Place
0002580,Hylan Boulevard and Harold Avenue
